type,dataset,slot_time,instance_number,month,energy_instance_reference,energy_production_function,exec_time,status,obj_value,obj_bound
HEURISTIC_MEDIAN_12_LAD,B,96,4,Sep,2,exponential,0:00:39.572217,OPTIMAL,122449977656,0
HEURISTIC_MEDIAN_12_LAD,B,96,4,Sep,2,linear,0:00:41.487294,OPTIMAL,122539231018,0
HEURISTIC_MEDIAN_12_LAD,B,96,4,Sep,2,quadratic,0:00:37.171284,OPTIMAL,122540499476,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Dec,2,constant,0:00:47.938037,OPTIMAL,122482445049,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Dec,2,linear,0:00:48.642395,OPTIMAL,122555604342,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Dec,2,quadratic,0:00:45.544700,OPTIMAL,122545524904,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Jul,2,constant,0:00:36.733662,OPTIMAL,122514059057,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Jul,2,linear,0:00:36.377076,OPTIMAL,122502731613,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Jul,2,quadratic,0:00:40.692665,OPTIMAL,122552894102,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Sep,2,constant,0:00:41.452165,OPTIMAL,122483429528,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Sep,2,exponential,0:00:38.550476,OPTIMAL,122421687235,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Sep,2,linear,0:00:38.192013,OPTIMAL,122525886771,0
HEURISTIC_MEDIAN_12_LAD,B,96,5,Sep,2,quadratic,0:00:38.645363,OPTIMAL,122538054749,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Dec,2,constant,0:00:49.080805,OPTIMAL,125254311615,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Dec,2,exponential,0:01:09.116377,OPTIMAL,125316381646,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Dec,2,linear,0:00:46.446026,OPTIMAL,125182463107,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Dec,2,quadratic,0:01:36.581203,OPTIMAL,125025198116,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Jul,2,constant,0:00:37.264412,OPTIMAL,125273961107,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Jul,2,exponential,0:00:52.065282,OPTIMAL,125228783157,0
